id;first_name;last_name;email;home_number;mobile_number;kinship
1;Ozella;Treutel;Lemuel37@hotmail.com;Branding;Home Gloves Latvia;SPOUSE
2;Aida;Feil;Eric.Daugherty64@yahoo.com;calculating withdrawal Nevada;Berkshire;SPOUSE
3;Watson;Wolff;Jeanne_Toy43@yahoo.com;dot-com payment Libyan Dinar;white sensor local;SPOUSE
4;Althea;Dare;Tristian.Koss91@hotmail.com;out-of-the-box Automotive Tactics;Venezuela Wisconsin;SPOUSE
5;Rowland;Gleichner;Jazmyne_Dach@gmail.com;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;SPOUSE
6;Serenity;Hammes;Rosetta70@hotmail.com;real-time discrete redundant;Synergistic Personal Loan Account Sleek;SPOUSE
7;Pierre;Dietrich;Antonetta_Prohaska@yahoo.com;Human;Tools California;SPOUSE
8;Jameson;Crist;Willie_Graham86@yahoo.com;Assimilated;compressing;SPOUSE
9;Rhett;Runte;Crystal.Wintheiser@gmail.com;backing up;Iran;SPOUSE
10;Brennon;Wolf;Jorge4@hotmail.com;morph content bypass;Electronics;SPOUSE
